"global_id";"system_object_id";"ID";"Name";"Mode";"District";"Address";"LocationDescription";"Longitude_WGS84";"Latitude_WGS84";"CarCapacity";"AdmArea";
"1704669";"91";"91";"Парковка такси по адресу Алтуфьевское шоссе, дом 17";"круглосуточно";"район Лианозово";"Алтуфьевское шоссе, дом 17";"Дублер, в составе ТПУ «Алтуфьево»";"37.5861042915858";"55.8993275703614";"3";"Северо-Восточный административный округ";
"1704670";"140";"140";"Парковка такси по адресу Цветной бульвар, дом 15";"круглосуточно";"Мещанский район";"Цветной бульвар, дом 15";"Возле цирка";"37.620985507965";"55.7711962396432";"4";"Центральный административный округ";
"1704671";"141";"141";"Парковка такси по адресу улица Петровка, дом 10 (1)";"круглосуточно";"Тверской район";"улица Петровка, дом 10";"улица Петровка, дом 10 вдоль проезжей части";"37.6176756620407";"55.7625864176716";"3";"Центральный административный округ";
"1704672";"142";"142";"Парковка такси по адресу площадь Пречистенские Ворота, владение 1, строение 6";"круглосуточно";"район Хамовники";"площадь Пречистенские Ворота, владение 1, строение 6";"У выхода из станции метро «Кропоткинская»";"37.6021242141723";"55.7449232419277";"3";"Центральный административный округ";
"1704673";"143";"143";"Парковка такси по адресу Славянская площадь, дом 27/1";"круглосуточно";"Тверской район";"Лубянский проезд, дом 27/1, строение 1";"Станция метро «Китай-город», Славянская площадь";"37.6344984769821";"55.7542795931395";"5";"Центральный административный округ";
"1704674";"144";"144";"Парковка такси по адресу Котельническая набережная, дом 1/15";"круглосуточно";"Таганский район";"Котельническая набережная, дом 1/15";"На парковке перед кинотеатром «Иллюзион»";"37.6450878381729";"55.7480332171779";"4";"Центральный административный округ";
"1704675";"145";"145";"Парковка такси по адресу улица Крымский Вал, дом 9, строение 1";"круглосуточно";"район Якиманка";"улица Крымский Вал, дом 9, строение 1";"У входа в парк культуры и отдыха имени М. Горького";"37.6044362783432";"55.7318858234067";"6";"Центральный административный округ";
"1704676";"146";"146";"Парковка такси по адресу улица Серафимовича, дом 2, корпус 8";"круглосуточно";"район Якиманка";"улица Серафимовича, дом 2, корпус 8";"Вдоль набережной при съезде с Большой Полянки на Болотную набережную";"37.6155138015747";"55.7434043969338";"4";"Центральный административный округ";
"1704677";"147";"147";"Парковка такси по адресу улица Серафимовича, дом 2, корпус 10";"круглосуточно";"район Якиманка";"улица Серафимовича, дом 2, корпус 10";"У входа в театр Эстрады со стороны Берсеневской набережной";"37.6109701395034";"55.744977593138";"2";"Центральный административный округ";
"1704678";"148";"148";"Парковка такси по адресу улица Волхонка, дом 13";"круглосуточно";"район Хамовники";"улица Волхонка, дом 13";"У галереи Ильи Глазунова";"37.6063513755798";"55.7465205320249";"5";"Центральный административный округ";
"1704679";"149";"149";"Парковка такси по адресу улица Красная Пресня, дом 4";"круглосуточно";"Пресненский район";"улица Красная Пресня, дом 4";"В заездном кармане";"37.5759109854698";"55.761238791859";"2";"Центральный административный округ";
"1704680";"150";"150";"Парковка такси по адресу Дубининская улица, дом 7/4";"круглосуточно";"район Замоскворечье";"Дубининская улица, дом 7/4";"Павелецкий вокзал";"37.6368534564971";"55.7289709102552";"4";"Центральный административный округ";
"1704681";"151";"151";"Парковка такси по адресу Комсомольская площадь, дом 2 (2)";"круглосуточно";"Красносельский район";"Комсомольская площадь, дом 2";"Казанский вокзал, Рязанский проезд, у Казанского вокзала перед выездом на Комсомольскую площадь";"37.6539713144302";"55.7737308406862";"3";"Центральный административный округ";
"1704682";"152";"152";"Парковка такси по адресу Комсомольская площадь, дом 5 (1)";"круглосуточно";"Красносельский район";"Комсомольская площадь, дом 5";"В кармане перед въездом на парковку Ярославского вокзала";"37.6581716537475";"55.7763919944032";"2";"Центральный административный округ";
"1704683";"153";"153";"Парковка такси по адресу Комсомольская площадь, дом 5 (2)";"круглосуточно";"Красносельский район";"Комсомольская площадь, дом 5";"Площадь прилегающая к Ленинградскому вокзалу, Краснопрудная улица";"37.6561117172241";"55.776081234122";"20";"Центральный административный округ";
"1704684";"154";"154";"Парковка такси по адресу Нижегородская улица, дом 1";"круглосуточно";"Таганский район";"Нижегородская улица, дом 1";"Напротив ТЦ «Нижегородский пассаж» в кармане проезжей части";"37.6742541790008";"55.7388716670817";"4";"Центральный административный округ";
"1704685";"155";"155";"Парковка такси по адресу Абельмановская улица, дом 17";"круглосуточно";"Таганский район";"Абельмановская улица, дом 17";"На паркове слева от кинотеатра «Победа»";"37.6707726716995";"55.7349213306178";"3";"Центральный административный округ";
"1704686";"156";"156";"Парковка такси по адресу Никольская улица, дом 25";"круглосуточно";"Тверской район";"Никольская улица, дом 25";"У подуличного перехода";"37.6246386766433";"55.759474584206";"2";"Центральный административный округ";
"1704687";"157";"157";"Парковка такси по адресу площадь Рогожская Застава, дом 2 (1)";"круглосуточно";"Таганский район";"площадь Рогожская Застава, дом 2";"Выход из станции метро «Площадь Ильича»";"37.6811152696609";"55.7464088144285";"2";"Центральный административный округ";
"1704689";"159";"159";"Парковка такси по адресу площадь Курского Вокзала, дом 33";"круглосуточно";"Басманный район";"площадь Курского Вокзала, дом 33";"площадь Курского вокзала, напротив входа на вокзал";"37.6603925228118";"55.7569450933552";"20";"Центральный административный округ";
"1704690";"160";"160";"Парковка такси по адресу 1-я улица Машиностроения, дом 7";"круглосуточно";"Южнопортовый район";"1-я улица Машиностроения, дом 7";"";"37.6756140589714";"55.7152588375062";"3";"Юго-Восточный административный округ";
"1704691";"161";"161";"Парковка такси по адресу Карачаровское шоссе, дом 15";"круглосуточно";"Нижегородский район";"Карачаровское шоссе, дом 15";"";"37.7630192041397";"55.7356914963956";"4";"Юго-Восточный административный округ";
"1704692";"162";"162";"Парковка такси по адресу Тихорецкий бульвар, дом 1 (1)";"круглосуточно";"район Люблино";"Тихорецкий бульвар, дом 1";"ТЦ «Москва»";"37.7767521142959";"55.6731317657381";"5";"Юго-Восточный административный округ";
"1704693";"163";"163";"Парковка такси по адресу Краснодарская улица, дом 54";"круглосуточно";"район Люблино";"Краснодарская улица, дом 54";"Станция метро «Волжская»";"37.7553158998489";"55.6903224689669";"4";"Юго-Восточный административный округ";
"1704694";"102";"102";"Парковка такси по адресу улица Маршала Бирюзова, дом 32";"круглосуточно";"район Щукино";"улица Маршала Бирюзова, дом 32";"ТЦ «Пятая авеню», в кармане после остановки Мосгортранса «52-я городская больница»";"37.4826049804687";"55.7993632879145";"4";"Северо-Западный административный округ";
"1704695";"103";"103";"Парковка такси по адресу улица Маршала Василевского, дом 15";"круглосуточно";"район Щукино";"улица Маршала Василевского, дом 15";"В заездном кармане";"37.4660289287567";"55.807539921555";"3";"Северо-Западный административный округ";
"1704696";"104";"104";"Парковка такси по адресу Строгинский бульвар, дом 30";"круглосуточно";"район Строгино";"Строгинский бульвар, дом 30";"У выхода из станции метро «Строгино», восточный вестибюль в сторону Строгинского бульвара, дома 30, после автобусной остановки";"37.4060869216918";"55.8028186678313";"3";"Северо-Западный административный округ";
"1704697";"105";"105";"Парковка такси по адресу Строгинский бульвар, дом 12";"круглосуточно";"район Строгино";"Строгинский бульвар, дом 12";"У выхода из станции метро «Строгино», западный вестибюль в сторону Строгинского бульвара, дома 30, перед автобусной остановкой";"37.3984318971633";"55.8044346914088";"4";"Северо-Западный административный округ";
"1704698";"106";"106";"Парковка такси по адресу Строгинский бульвар, дом 9";"круглосуточно";"район Строгино";"Строгинский бульвар, дом 9";"У выхода из станции метро «Строгино», западный вестибюль в сторону Строгинского бульвара, дома 9, перед автобусной остановкой";"37.4018543958663";"55.8042447518178";"4";"Северо-Западный административный округ";
"1704699";"107";"107";"Парковка такси по адресу улица Маршала Катукова, дом 25";"круглосуточно";"район Строгино";"улица Маршала Катукова, дом 25";"";"37.4143213033676";"55.8052667967899";"3";"Северо-Западный административный округ";
"1704700";"108";"108";"Парковка такси по адресу Дубравная улица, дом 34/29";"круглосуточно";"район Митино";"Дубравная улица, дом 34/29";"Станция метро «Митино», ТЦ «Ладья», на проезжей части перед остановкой Мосгортранса станция метро «Митино»";"37.3595076799392";"55.8462771817672";"4";"Северо-Западный административный округ";
