"ID";"Name";"INN";"global_id";"KPP";"OGRN";"Sum";"ExtraInfo";
"1";"Общество с ограниченной ответственностью «ФИРМА «ИМПЕРИАЛ»";"7702090640";"20277178";"771301001";"1037739107438";"3.2856358823E8";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"3";"Общество с ограниченной ответственностью «Магазин «ЛОТА»";"7708042466";"20277180";"770801001";"1027739289434";"1.0311190418E8";"";
"5";"Общество с ограниченной ответственностью «ЭПРМ»";"5005033351";"20277182";"772601001";"1035001303600";"8.497496134E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"4";"Общество с ограниченной ответственностью «СКТД»";"7731188801";"20277181";"773101001";"1027700306303";"7.948615107E7";"";
"2";"Общество с ограниченной ответственностью «КОНИКС-ШКОЛЬНИК»";"7709537944";"20277179";"770901001";"1047796225322";"7.900846398E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"6";"Общество с ограниченной ответственностью «РЭСО»";"7709599429";"20277183";"770101001";"1027739584498";"7.867497443E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"8";"Общество с ограниченной ответственностью «ВЕЛА гранд»";"7716182001";"20277185";"773601001";"1037739019581";"6.603309287E7";"";
"7";"Общество с ограниченной ответственностью «УНИВЕРССТРОЙЛЮКС»";"7705355693";"20277184";"771901001";"1027700384722";"6.122651758E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"10";"Закрытое акционерное общество «Аудиторская фирма «Бизнес-класс-аудит»";"7710014995";"20277187";"772001001";"1037739570483";"5.334718317E7";"";
"13";"Общество с ограниченной ответственностью «ДЖИ-ЭН-ЭН»";"7729139902";"20277190";"770301001";"1027739605409";"5.310967369E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"15";"Общество с ограниченной ответственностью «ГФ «АНТЕЙ»";"7724246869";"20277192";"772401001";"1027724003658";"5.275584937E7";"";
