"ID";"ParkingName";"global_id";"ParkingZoneNumber";"AdmArea";"District";"Address";"WorkingHours";"Price";"CarCapacity";"Longitude_WGS84";"Latitude_WGS84";"Coordinates";"geoData";
"3020148";"Парковка №3020 (48)";"64189573";"3020";"Южный административный округ";"Донской район";"Малая Калужская Улица, Дом 27";"круглосуточно";"40.0";"4";"37.5950350994983";"55.7155761500965";"55.7154477,37.5948822|55.7157046,37.595188";"{type=MultiLineString, coordinates=[[[37.5948821996667, 55.71544770015631], [37.59518799966413, 55.71570460008833]]], center=[[37.5950350996654, 55.7155761501223]]}";
"3020149";"Парковка №3020 (49)";"64189574";"3020";"Южный административный округ";"Донской район";"Малая Калужская Улица, Дом 15, Строение 31";"круглосуточно";"40.0";"18";"37.5958853954602";"55.7162786508982";"55.7158979,37.5954187|55.7166594,37.5963521";"{type=MultiLineString, coordinates=[[[37.59541869960551, 55.7158978999995], [37.596352100389666, 55.7166593997713]]], center=[[37.5958853999976, 55.7162786498854]]}";
"3020150";"Парковка №3020 (50)";"64189575";"3020";"Южный административный округ";"Донской район";"Малая Калужская Улица, Дом 19";"круглосуточно";"40.0";"4";"37.5969770496551";"55.7171731000712";"55.7170704,37.5968456|55.7172758,37.5971085";"{type=MultiLineString, coordinates=[[[37.596845599772486, 55.71707039978883], [37.5971084998252, 55.7172758000118]]], center=[[37.5969770497989, 55.7171730999003]]}";
"3020151";"Парковка №3020 (51)";"64189581";"3020";"Южный административный округ";"Донской район";"Малая Калужская Улица, Дом 17";"круглосуточно";"40.0";"9";"37.5975188490692";"55.7176097001944";"55.717442,37.5973016|55.7177774,37.5977361";"{type=MultiLineString, coordinates=[[[37.59730159988207, 55.71744200000516], [37.59773609971362, 55.717777399931556]]], center=[[37.5975188497979, 55.7176096999684]]}";
"3020152";"Парковка №3020 (52)";"64189584";"3020";"Южный административный округ";"Донской район";"Малая Калужская Улица, Дом 12";"круглосуточно";"40.0";"10";"37.5967463983698";"55.717173100327";"55.7169465,37.5964648|55.7173997,37.597028";"{type=MultiLineString, coordinates=[[[37.59646480033029, 55.716946500217475], [37.597027999995966, 55.717399700056575]]], center=[[37.5967464001631, 55.7171731001371]]}";
"3020153";"Парковка №3020 (53)";"64189590";"3020";"Южный административный округ";"Донской район";"Малая Калужская Улица, Дом 15, Строение 4";"круглосуточно";"40.0";"3";"37.5979936497305";"55.7180040500524";"55.7179104,37.597881|55.7180977,37.5981063";"{type=MultiLineString, coordinates=[[[37.59788099976557, 55.717910400171505], [37.59810629993377, 55.71809769976801]]], center=[[37.5979936498497, 55.7180040499697]]}";
"3020142";"Парковка №3020 (42)";"64189617";"3020";"Южный административный округ";"Донской район";"5-Й Донской Проезд, Дом 15";"круглосуточно";"40.0";"3";"37.5991871997951";"55.7083881500325";"55.7084788,37.5992757|55.7082975,37.5990987";"{type=MultiLineString, coordinates=[[[37.59927569982119, 55.708478800187265], [37.599098700269195, 55.7082975000299]]], center=[[37.5991872000452, 55.7083881501086]]}";
"3020143";"Парковка №3020 (43)";"64189618";"3020";"Южный административный округ";"Донской район";"5-Й Донской Проезд, Дом 15";"круглосуточно";"40.0";"14";"37.5987445991131";"55.7079741001384";"55.7081645,37.598927|55.7077837,37.5985622";"{type=MultiLineString, coordinates=[[[37.59892699987904, 55.708164499955934], [37.59856220033038, 55.70778370025061]]], center=[[37.5987446001047, 55.7079741001033]]}";
"3020144";"Парковка №3020 (44)";"64189619";"3020";"Южный административный округ";"Донской район";"5-Й Донской Проезд, Дом 15";"круглосуточно";"40.0";"14";"37.5983154976583";"55.707230550375";"55.7069253,37.5980151|55.7075358,37.5986159";"{type=MultiLineString, coordinates=[[[37.59801510027118, 55.70692530023357], [37.59861589982143, 55.7075357997935]]], center=[[37.5983155000463, 55.7072305500135]]}";
"3020145";"Парковка №3020 (45)";"64189620";"3020";"Южный административный округ";"Донской район";"5-Й Донской Проезд, Дом 15, Строение 2";"круглосуточно";"40.0";"8";"37.5977253989863";"55.7066230501552";"55.7068286,37.5979185|55.7064175,37.5975323";"{type=MultiLineString, coordinates=[[[37.59791849993711, 55.70682860010718], [37.59753229982343, 55.70641749992024]]], center=[[37.5977253998802, 55.7066230500137]]}";
